epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,819.884,3.47791,3.85126,4.19395,0.00431,0.33986,0.0135,0.00372,3.57132,4.19331,4.09027,0.00054409,0.00054409,0.00054409
2,1610.9,3.16,3.44702,3.71183,0.00231,0.36806,0.01105,0.00308,3.76311,4.14332,4.34879,0.00108887,0.00108887,0.00108887
3,2392.3,2.8519,3.10116,3.2461,0.07402,0.20992,0.03389,0.00912,2.97001,8.06554,3.89221,0.00162265,0.00162265,0.00162265
4,3168.64,2.70269,2.81855,3.0005,0.13847,0.27687,0.10397,0.02634,2.82629,3.19356,3.1469,0.00161749,0.00161749,0.00161749
5,3950.41,2.52986,2.59214,2.81188,0.16192,0.25139,0.10336,0.03606,2.35039,3.07208,2.76668,0.00160099,0.00160099,0.00160099
6,4754.2,2.33951,2.51372,2.63522,0.18738,0.33123,0.14796,0.05209,2.2844,2.86758,2.6189,0.00158448,0.00158448,0.00158448
7,5530.41,2.25387,2.32357,2.54151,0.26152,0.31484,0.18865,0.07011,2.14853,2.73284,2.51572,0.00156798,0.00156798,0.00156798
8,6337.87,2.14661,2.24326,2.44343,0.3647,0.47153,0.36018,0.14081,2.01426,2.73851,2.39152,0.00155148,0.00155148,0.00155148
9,7194.87,2.07103,2.11393,2.32237,0.34468,0.44496,0.34796,0.13476,2.03216,3.43908,2.44463,0.00153497,0.00153497,0.00153497
10,7972.33,1.98845,1.9697,2.22425,0.43213,0.41928,0.37961,0.14881,2.09317,2.16558,2.35399,0.00151847,0.00151847,0.00151847
11,8750.67,1.91548,1.90009,2.15669,0.51938,0.54697,0.52248,0.21699,1.85873,1.93862,2.13185,0.00150197,0.00150197,0.00150197
12,9533.81,1.85354,1.82638,2.10546,0.53852,0.567,0.54526,0.27509,1.70104,1.77324,2.00217,0.00148546,0.00148546,0.00148546
13,10307.6,1.83684,1.7957,2.04271,0.54452,0.56561,0.53921,0.26458,1.7587,1.95023,2.04853,0.00146896,0.00146896,0.00146896
14,11076.9,1.7789,1.7469,1.99753,0.55457,0.59737,0.56608,0.2838,1.69682,1.80756,2.00531,0.00145246,0.00145246,0.00145246
15,11847.7,1.78837,1.67946,1.98069,0.47514,0.6438,0.58183,0.29241,1.67086,1.72269,1.95378,0.00143595,0.00143595,0.00143595
16,12619.2,1.72183,1.6615,1.93456,0.60222,0.62143,0.58396,0.28682,1.71484,1.60325,1.95296,0.00141945,0.00141945,0.00141945
17,13389,1.74008,1.63917,1.94668,0.56597,0.5964,0.54263,0.26861,1.68352,1.73443,1.9656,0.00140295,0.00140295,0.00140295
18,14158.6,1.70365,1.61755,1.93676,0.60941,0.67529,0.64679,0.35815,1.56643,1.49743,1.82946,0.00138644,0.00138644,0.00138644
19,14928.1,1.6973,1.60442,1.89463,0.59661,0.68837,0.64359,0.34093,1.61848,1.46174,1.86081,0.00136994,0.00136994,0.00136994
20,15698.1,1.6594,1.54111,1.87192,0.63348,0.67467,0.66569,0.35261,1.59984,1.46621,1.84224,0.00135344,0.00135344,0.00135344
21,16482,1.64616,1.52642,1.85924,0.64323,0.6484,0.67495,0.35333,1.67973,1.47937,1.90822,0.00133693,0.00133693,0.00133693
22,17251.9,1.63964,1.50498,1.86009,0.62127,0.71385,0.69053,0.38977,1.50461,1.45879,1.76306,0.00132043,0.00132043,0.00132043
23,18021.2,1.60219,1.49307,1.81745,0.65467,0.68787,0.69865,0.38813,1.54511,1.48573,1.80144,0.00130393,0.00130393,0.00130393
24,18791.3,1.63645,1.49043,1.80225,0.61749,0.71814,0.70002,0.36417,1.60043,1.38909,1.83854,0.00128742,0.00128742,0.00128742
25,19559.6,1.58389,1.47126,1.80937,0.67612,0.703,0.71993,0.41131,1.48067,1.32553,1.74338,0.00127092,0.00127092,0.00127092
26,20327.3,1.58833,1.47413,1.80436,0.6693,0.74728,0.74403,0.4317,1.43651,1.27658,1.71677,0.00125442,0.00125442,0.00125442
27,21096.2,1.5659,1.44987,1.78959,0.68293,0.74224,0.72724,0.41551,1.44935,1.35608,1.71014,0.00123791,0.00123791,0.00123791
28,21864.5,1.55142,1.38815,1.74966,0.68909,0.75394,0.74487,0.41934,1.50384,1.28903,1.78183,0.00122141,0.00122141,0.00122141
29,22634.2,1.54463,1.37618,1.74703,0.69765,0.7745,0.7624,0.45116,1.428,1.23073,1.69232,0.00120491,0.00120491,0.00120491
30,23404.7,1.53155,1.33623,1.73517,0.70255,0.76077,0.76695,0.46185,1.41708,1.22378,1.67049,0.0011884,0.0011884,0.0011884
31,24175,1.5134,1.32828,1.70722,0.68197,0.75928,0.77573,0.46049,1.41353,1.24114,1.70475,0.0011719,0.0011719,0.0011719
32,24943.3,1.501,1.33382,1.71362,0.6728,0.75572,0.75999,0.46353,1.38371,1.21412,1.66469,0.0011554,0.0011554,0.0011554
33,25712.5,1.50115,1.3158,1.69018,0.69343,0.77502,0.76905,0.46596,1.36361,1.17982,1.64635,0.00113889,0.00113889,0.00113889
