epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.7755,1.53936,3.13936,1.56609,0.74545,0.14384,0.16605,0.10243,1.35056,2.16923,1.49911,0.00019387,0.00019387,0.00019387
2,170.11,1.32659,2.02505,1.38593,0.22777,0.31876,0.19231,0.12227,1.29303,1.61779,1.43492,0.000388583,0.000388583,0.000388583
3,250.655,1.27448,1.79869,1.34182,0.19421,0.34506,0.2429,0.16352,1.23034,1.46551,1.39383,0.000582003,0.000582003,0.000582003
4,330.221,1.26995,1.69495,1.33591,0.20486,0.49047,0.26262,0.17514,1.24635,1.45788,1.41719,0.000582179,0.000582179,0.000582179
5,409.625,1.23835,1.59238,1.31723,0.26488,0.46799,0.31146,0.20595,1.22792,1.39097,1.34757,0.000580238,0.000580238,0.000580238
6,489.035,1.21411,1.50997,1.29167,0.32313,0.54615,0.40442,0.28511,1.14449,1.21656,1.30857,0.000578298,0.000578298,0.000578298
7,568.56,1.18431,1.42996,1.27106,0.45835,0.48852,0.44438,0.31648,1.12838,1.21798,1.28935,0.000576358,0.000576358,0.000576358
8,647.737,1.17437,1.38717,1.27773,0.50225,0.56095,0.48748,0.34767,1.12786,1.10273,1.28634,0.000574417,0.000574417,0.000574417
9,726.94,1.14873,1.32863,1.25606,0.50327,0.58134,0.58183,0.42057,1.12665,1.16949,1.27982,0.000572477,0.000572477,0.000572477
10,806.186,1.15524,1.2857,1.25483,0.5858,0.56194,0.60266,0.42242,1.13733,1.06435,1.2995,0.000570536,0.000570536,0.000570536
11,885.239,1.14678,1.26957,1.24635,0.55627,0.63138,0.66222,0.49079,1.07231,0.99385,1.23825,0.000568596,0.000568596,0.000568596
12,964.311,1.12799,1.19124,1.23337,0.67923,0.68456,0.73392,0.54711,1.05924,0.93772,1.22979,0.000566656,0.000566656,0.000566656
13,1043.46,1.12864,1.16653,1.2374,0.73703,0.70399,0.78902,0.58461,1.06219,0.92071,1.23483,0.000564715,0.000564715,0.000564715
14,1122.71,1.13266,1.16461,1.23395,0.64882,0.68387,0.72214,0.5325,1.07682,0.93623,1.23893,0.000562775,0.000562775,0.000562775
15,1201.77,1.09984,1.12513,1.22278,0.7476,0.70867,0.79012,0.57704,1.08945,0.92107,1.25181,0.000560834,0.000560834,0.000560834
16,1280.94,1.09905,1.0918,1.21492,0.75014,0.74388,0.79585,0.60015,1.02882,0.86501,1.2085,0.000558894,0.000558894,0.000558894
17,1359.93,1.09311,1.07487,1.21257,0.81216,0.74794,0.84661,0.64027,1.01666,0.82889,1.20414,0.000556954,0.000556954,0.000556954
18,1439.11,1.08943,1.04345,1.21175,0.81093,0.77935,0.85983,0.65743,1.03496,0.84431,1.2115,0.000555013,0.000555013,0.000555013
19,1518.17,1.0848,1.03661,1.21042,0.81858,0.78385,0.86026,0.65563,1.02741,0.82703,1.20057,0.000553073,0.000553073,0.000553073
20,1597.34,1.06706,1.01205,1.20254,0.84329,0.80108,0.88052,0.66128,1.03274,0.80714,1.21072,0.000551132,0.000551132,0.000551132
21,1676.54,1.06109,1.00164,1.1929,0.82182,0.81105,0.88461,0.68803,0.98909,0.78243,1.18044,0.000549192,0.000549192,0.000549192
22,1755.63,1.0683,0.99996,1.20639,0.83471,0.80553,0.8916,0.68818,0.99308,0.78064,1.17874,0.000547252,0.000547252,0.000547252
23,1834.66,1.06984,0.99356,1.20698,0.82995,0.8103,0.89333,0.68534,1.0183,0.78245,1.1988,0.000545311,0.000545311,0.000545311
24,1913.85,1.0499,0.97607,1.18641,0.81001,0.8346,0.89819,0.68823,1.0074,0.77676,1.1839,0.000543371,0.000543371,0.000543371
25,1992.8,1.04933,0.97458,1.18758,0.86731,0.83334,0.90548,0.70227,0.98843,0.73566,1.17529,0.00054143,0.00054143,0.00054143
26,2071.89,1.0424,0.9536,1.19005,0.87245,0.78171,0.89572,0.6948,0.98175,0.74069,1.17257,0.00053949,0.00053949,0.00053949
27,2150.96,1.04192,0.93624,1.17857,0.86068,0.84562,0.92231,0.72749,0.96251,0.70496,1.16379,0.00053755,0.00053755,0.00053755
28,2229.97,1.03086,0.93323,1.17798,0.88414,0.83761,0.92171,0.71786,0.9797,0.71254,1.15969,0.000535609,0.000535609,0.000535609
29,2308.98,1.02514,0.90679,1.17611,0.87732,0.81166,0.90582,0.71248,0.96827,0.72473,1.16382,0.000533669,0.000533669,0.000533669
30,2387.95,1.03671,0.93144,1.18001,0.85801,0.84324,0.91857,0.717,0.9516,0.71748,1.14016,0.000531728,0.000531728,0.000531728
31,2466.94,1.01551,0.9125,1.16779,0.85583,0.84461,0.92087,0.72976,0.95307,0.71351,1.14875,0.000529788,0.000529788,0.000529788
32,2545.78,1.03128,0.92036,1.18858,0.90013,0.84888,0.93482,0.74171,0.93885,0.6662,1.14035,0.000527848,0.000527848,0.000527848
33,2624.69,1.01135,0.8878,1.16444,0.8864,0.85194,0.93148,0.73678,0.95933,0.68882,1.16151,0.000525907,0.000525907,0.000525907
34,2703.73,1.02027,0.9129,1.18156,0.86935,0.8588,0.92264,0.71168,0.99582,0.69658,1.17007,0.000523967,0.000523967,0.000523967
35,2782.58,1.00495,0.87211,1.16495,0.85996,0.88241,0.94154,0.75173,0.94156,0.66619,1.13948,0.000522026,0.000522026,0.000522026
36,2862.29,1.00118,0.86914,1.16706,0.91066,0.85842,0.93937,0.74588,0.94806,0.6573,1.13729,0.000520086,0.000520086,0.000520086
37,2942.28,1.01527,0.87913,1.16954,0.88737,0.85261,0.9416,0.74511,0.95779,0.67158,1.1471,0.000518146,0.000518146,0.000518146
38,3021.79,0.99195,0.85653,1.1445,0.88612,0.89431,0.94524,0.76297,0.90713,0.64385,1.11402,0.000516205,0.000516205,0.000516205
39,3101.63,0.9846,0.83627,1.13715,0.85635,0.88633,0.94359,0.75146,0.92847,0.64421,1.12906,0.000514265,0.000514265,0.000514265
40,3180.83,0.99835,0.84102,1.15473,0.88199,0.89522,0.95083,0.76593,0.92887,0.64042,1.12832,0.000512324,0.000512324,0.000512324
41,3260.4,0.98239,0.83116,1.14768,0.91537,0.90426,0.95798,0.77258,0.90189,0.60228,1.10963,0.000510384,0.000510384,0.000510384
42,3340.1,0.97374,0.81524,1.14455,0.901,0.89988,0.95787,0.78141,0.89902,0.61135,1.11831,0.000508444,0.000508444,0.000508444
43,3418.98,0.98178,0.82954,1.15424,0.90852,0.88528,0.95696,0.77162,0.91014,0.62984,1.11919,0.000506503,0.000506503,0.000506503
44,3499.65,0.97884,0.82453,1.15384,0.90689,0.89675,0.95315,0.77225,0.90437,0.61632,1.11092,0.000504563,0.000504563,0.000504563
45,3579.29,0.97828,0.80888,1.15024,0.89955,0.87689,0.95171,0.78052,0.89055,0.60605,1.10925,0.000502622,0.000502622,0.000502622
46,3658.3,0.98163,0.81254,1.15085,0.90817,0.90291,0.95998,0.77862,0.89128,0.61295,1.10991,0.000500682,0.000500682,0.000500682
47,3737.21,0.95568,0.79355,1.13304,0.90546,0.89803,0.96374,0.77966,0.9162,0.61151,1.12701,0.000498742,0.000498742,0.000498742
48,3817.04,0.96462,0.80649,1.15097,0.91069,0.89144,0.95748,0.7891,0.87103,0.59888,1.09372,0.000496801,0.000496801,0.000496801
49,3896.08,0.97571,0.80187,1.14937,0.91352,0.91342,0.96345,0.79209,0.87212,0.58148,1.09636,0.000494861,0.000494861,0.000494861
50,3975.09,0.95848,0.79731,1.14711,0.89555,0.90209,0.9583,0.7721,0.89815,0.61446,1.11488,0.00049292,0.00049292,0.00049292
51,4054.12,0.95869,0.78979,1.1402,0.90673,0.92833,0.96518,0.79749,0.86131,0.57621,1.08548,0.00049098,0.00049098,0.00049098
