epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.0341,3.52155,4.6177,4.21466,0.00166,0.17569,0.00331,0.00098,3.49113,4.27987,4.15377,0.00019387,0.00019387,0.00019387
2,171.184,3.19536,3.87212,3.74799,0.55265,0.03976,0.01049,0.00315,2.93858,3.82005,3.58797,0.00038601,0.00038601,0.00038601
3,254.915,2.91634,3.48251,3.26552,0.80078,0.04716,0.03632,0.01322,2.47852,3.1754,3.01072,0.000574269,0.000574269,0.000574269
4,337.752,2.5851,3.17226,2.8966,0.68331,0.11369,0.09069,0.03537,2.33858,2.6606,2.7029,0.000570536,0.000570536,0.000570536
5,419.534,2.32142,2.8661,2.58984,0.90013,0.05797,0.07847,0.03037,2.28094,2.8875,2.70048,0.000564715,0.000564715,0.000564715
6,500.398,2.1343,2.65908,2.37464,0.65872,0.13763,0.13666,0.05951,1.93276,2.20048,2.28011,0.000558894,0.000558894,0.000558894
7,581.257,1.991,2.47214,2.2147,0.39914,0.15607,0.14646,0.06572,1.88847,2.15793,2.18175,0.000553073,0.000553073,0.000553073
8,661.815,1.89145,2.39442,2.12218,0.32584,0.21255,0.19946,0.10075,1.7267,1.9709,2.03541,0.000547252,0.000547252,0.000547252
9,742.731,1.85131,2.31428,2.0576,0.38362,0.19683,0.17515,0.08412,1.71578,1.99122,2.0129,0.00054143,0.00054143,0.00054143
10,822.746,1.78893,2.21493,1.98339,0.45678,0.22037,0.21197,0.11234,1.67395,1.79397,1.92419,0.000535609,0.000535609,0.000535609
11,902.866,1.76891,2.16172,1.948,0.68037,0.18615,0.22691,0.12346,1.58005,1.80777,1.85364,0.000529788,0.000529788,0.000529788
12,982.837,1.70604,2.09206,1.89422,0.36709,0.2282,0.23761,0.13311,1.58061,1.7603,1.84662,0.000523967,0.000523967,0.000523967
13,1062.69,1.6686,2.01612,1.84827,0.52414,0.22285,0.24629,0.14053,1.56155,1.66781,1.80106,0.000518146,0.000518146,0.000518146
